problem_id,topic
460,Hash Table
460,Linked List
460,Design
460,Doubly-Linked List
461,Bit Manipulation
462,Array
462,Math
462,Sorting
463,Array
463,Depth-First Search
463,Breadth-First Search
463,Matrix
464,Math
464,Dynamic Programming
464,Bit Manipulation
464,Memoization
464,Game Theory
464,Bitmask
465,Array
465,Dynamic Programming
465,Backtracking
465,Bit Manipulation
465,Bitmask
466,Two Pointers
466,String
466,Dynamic Programming
467,String
467,Dynamic Programming
468,String
469,Array
469,Math
469,Geometry
903,Math
903,Rejection Sampling
903,Randomized
903,Probability and Statistics
471,String
471,Dynamic Programming
472,Array
472,String
472,Dynamic Programming
472,Depth-First Search
472,Trie
472,Sorting
473,Array
473,Dynamic Programming
473,Backtracking
473,Bit Manipulation
473,Bitmask
474,Array
474,String
474,Dynamic Programming
475,Array
475,Two Pointers
475,Binary Search
475,Sorting
476,Bit Manipulation
477,Array
477,Math
477,Bit Manipulation
915,Math
915,Geometry
915,Rejection Sampling
915,Randomized
479,Math
479,Enumeration
480,Array
480,Hash Table
480,Sliding Window
480,Heap (Priority Queue)
481,Two Pointers
481,String
482,String
483,Math
483,Binary Search
484,Array
484,String
484,Stack
484,Greedy
485,Array
486,Array
486,Math
486,Dynamic Programming
486,Recursion
486,Game Theory
487,Array
487,Dynamic Programming
487,Sliding Window
488,String
488,Dynamic Programming
488,Stack
488,Breadth-First Search
488,Memoization
865,Backtracking
865,Interactive
490,Array
490,Depth-First Search
490,Breadth-First Search
490,Matrix
491,Array
491,Hash Table
491,Backtracking
491,Bit Manipulation
492,Math
493,Array
493,Binary Search
493,Divide and Conquer
493,Binary Indexed Tree
493,Segment Tree
493,Merge Sort
493,Ordered Set
494,Array
494,Dynamic Programming
494,Backtracking
495,Array
495,Simulation
496,Array
496,Hash Table
496,Stack
496,Monotonic Stack
914,Array
914,Math
914,Binary Search
914,Reservoir Sampling
914,Prefix Sum
914,Ordered Set
914,Randomized
498,Array
498,Matrix
498,Simulation
499,Array
499,String
499,Depth-First Search
499,Breadth-First Search
499,Graph Theory
499,Heap (Priority Queue)
499,Matrix
499,Shortest Path
500,Array
500,Hash Table
500,String
501,Tree
501,Depth-First Search
501,Binary Search Tree
501,Binary Tree
502,Array
502,Greedy
502,Sorting
502,Heap (Priority Queue)
503,Array
503,Stack
503,Monotonic Stack
504,Math
504,String
505,Array
505,Depth-First Search
505,Breadth-First Search
505,Graph Theory
505,Heap (Priority Queue)
505,Matrix
505,Shortest Path
506,Array
506,Sorting
506,Heap (Priority Queue)
507,Math
508,Hash Table
508,Tree
508,Depth-First Search
508,Binary Tree
1013,Math
1013,Dynamic Programming
1013,Recursion
1013,Memoization
509,Tree
509,Binary Search Tree
509,Binary Tree
1179,Database
1180,Database
513,Tree
513,Depth-First Search
513,Breadth-First Search
513,Binary Tree
514,String
514,Dynamic Programming
514,Depth-First Search
514,Breadth-First Search
515,Tree
515,Depth-First Search
515,Breadth-First Search
515,Binary Tree
516,String
516,Dynamic Programming
517,Array
517,Greedy
518,Array
518,Dynamic Programming
913,Hash Table
913,Math
913,Reservoir Sampling
913,Randomized
520,String
521,String
522,Array
522,Hash Table
522,Two Pointers
522,String
522,Sorting
523,Array
523,Hash Table
523,Math
523,Prefix Sum
524,Array
524,Two Pointers
524,String
524,Sorting
525,Array
525,Hash Table
525,Prefix Sum
526,Array
526,Dynamic Programming
526,Backtracking
526,Bit Manipulation
526,Bitmask
527,Array
527,String
527,Greedy
527,Trie
527,Sorting
912,Array
912,Math
912,Binary Search
912,Prefix Sum
912,Randomized
529,Array
529,Depth-First Search
529,Breadth-First Search
529,Matrix
530,Tree
530,Depth-First Search
530,Breadth-First Search
530,Binary Search Tree
530,Binary Tree
531,Array
531,Hash Table
531,Matrix
532,Array
532,Hash Table
532,Two Pointers
532,Binary Search
532,Sorting
533,Array
533,Hash Table
533,Matrix
1181,Database
535,Hash Table
535,String
535,Design
535,Hash Function
536,String
536,Stack
536,Tree
536,Depth-First Search
536,Binary Tree
537,Math
537,String
537,Simulation
538,Tree
538,Depth-First Search
538,Binary Search Tree
538,Binary Tree
539,Array
539,Math
539,String
539,Sorting
540,Array
540,Binary Search
541,Two Pointers
541,String
542,Array
542,Dynamic Programming
542,Breadth-First Search
542,Matrix
543,Tree
543,Depth-First Search
543,Binary Tree
544,String
544,Recursion
544,Simulation
545,Tree
545,Depth-First Search
545,Binary Tree
546,Array
546,Dynamic Programming
546,Memoization
547,Depth-First Search
547,Breadth-First Search
547,Union-Find
547,Graph Theory
548,Array
548,Hash Table
548,Prefix Sum
549,Tree
549,Depth-First Search
549,Binary Tree
1182,Database
551,String
552,Dynamic Programming
553,Array
553,Math
553,Dynamic Programming
554,Array
554,Hash Table
555,Array
555,String
555,Greedy
556,Math
556,Two Pointers
556,String
557,Two Pointers
557,String
773,Divide and Conquer
773,Tree
774,Tree
774,Depth-First Search
774,Breadth-First Search
560,Array
560,Hash Table
560,Prefix Sum
561,Array
561,Greedy
561,Sorting
561,Counting Sort
562,Array
562,Dynamic Programming
562,Matrix
563,Tree
563,Depth-First Search
563,Binary Tree
564,Math
564,String
565,Array
565,Depth-First Search
566,Array
566,Matrix
566,Simulation
567,Hash Table
567,Two Pointers
567,String
567,Sliding Window
568,Array
568,Dynamic Programming
568,Matrix
569,Database
570,Database
571,Database
572,Tree
572,Depth-First Search
572,String Matching
572,Binary Tree
572,Hash Function
573,Array
573,Math
574,Database
575,Array
575,Hash Table
576,Dynamic Programming
577,Database
578,Database
579,Database
580,Database
581,Array
581,Two Pointers
581,Stack
581,Greedy
581,Sorting
581,Monotonic Stack
582,Array
582,Hash Table
582,Tree
582,Depth-First Search
582,Breadth-First Search
583,String
583,Dynamic Programming
584,Database
585,Database
586,Database
587,Array
587,Math
587,Geometry
588,Hash Table
588,String
588,Design
588,Trie
588,Sorting
775,Stack
775,Tree
775,Depth-First Search
776,Stack
776,Tree
776,Depth-First Search
591,String
591,Stack
592,Math
592,String
592,Simulation
593,Math
593,Geometry
594,Array
594,Hash Table
594,Sliding Window
594,Sorting
594,Counting
595,Database
596,Database
597,Database
598,Array
598,Math
599,Array
599,Hash Table
599,String
600,Dynamic Programming
601,Database
602,Database
603,Database
604,Array
604,String
604,Design
604,Iterator
605,Array
605,Greedy
606,String
606,Tree
606,Depth-First Search
606,Binary Tree
607,Database
608,Database
609,Array
609,Hash Table
609,String
610,Database
611,Array
611,Two Pointers
611,Binary Search
611,Greedy
611,Sorting
612,Database
613,Database
614,Database
615,Database
